file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,speaker1,-46.467262198735675,-47.27776046087278,5.136380049418821,8.105315080595098
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-43.780199652777775,-53.2183230473445,3.9051063204108365,11.443148868500742
F2BJRLP3,0.0,30.7068125,speaker1,-46.36615210843374,-47.454761330329504,3.6506839057271403,10.342718405978246
F2BJRLP2,0.0,28.6474375,speaker1,-45.889665139616056,-47.20584459658022,3.15784801515642,7.99438706190784
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-43.291980364709445,-53.16168894086565,2.7378986832756036,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.54133778994845,-49.93487103780111,2.4779021021071213,12.358243745435463
